"","Open","High","Low","Close","rsi","fastK","fastD","slowD","SMI","signal","SMA"
"1",0.936384,1.004464,0.907924,0.999442,NA,NA,NA,NA,NA,NA,NA
"2",0.966518,0.987723,0.90346,0.915179,NA,NA,NA,NA,NA,NA,NA
"3",0.926339,0.987165,0.919643,0.928571,NA,NA,NA,NA,NA,NA,NA
"4",0.947545,0.955357,0.848214,0.848214,NA,NA,NA,NA,NA,NA,NA
"5",0.861607,0.901786,0.852679,0.888393,NA,NA,NA,NA,NA,NA,NA
"6",0.910714,0.912946,0.845982,0.872768,NA,NA,NA,NA,NA,NA,NA
"7",0.856585,0.887277,0.808036,0.828125,NA,NA,NA,NA,NA,NA,NA
"8",0.848214,0.852679,0.772321,0.77846,NA,NA,NA,NA,NA,NA,NA
"9",0.84361,0.881696,0.825893,0.863839,NA,NA,NA,NA,NA,NA,NA
"10",0.892857,0.912946,0.887277,0.896763,NA,NA,NA,NA,NA,NA,NA
"11",0.901786,0.946429,0.896763,0.928013,NA,NA,NA,NA,NA,NA,NA
"12",0.94308,0.970982,0.922991,0.951451,NA,NA,NA,NA,NA,NA,NA
"13",1.03125,1.084821,1.013393,1.013393,NA,NA,NA,NA,NA,NA,NA
"14",1.020089,1.020089,0.983817,0.993862,NA,0.7089312,NA,NA,NA,NA,NA
"15",0.968192,1.006696,0.938616,0.948661,45.9555678739194,0.564288,NA,NA,NA,NA,NA
"16",0.9375,1.010045,0.914063,1.002232,50.5040874732403,0.7357152,0.6696448,NA,NA,NA,NA
"17",0.982143,1.019531,0.979911,0.983817,48.9781111397512,0.6767872,0.658930133333333,NA,NA,NA,NA
"18",0.97154,1.008929,0.955357,0.982143,48.8336639842346,0.6714304,0.694644266666667,0.6744064,NA,NA,NA
"19",0.96596,0.989955,0.898438,0.907366,42.7662283298395,0.432144,0.593453866666667,0.649009422222222,NA,NA,NA
"20",0.901786,0.927455,0.84375,0.926339,44.6455078958289,0.4928576,0.532144,0.606747377777778,NA,NA,NA
"21",0.928571,0.9375,0.892857,0.895089,42.1883649769757,0.3928576,0.4392864,0.521628088888889,NA,NA,NA
"22",0.899554,0.91183,0.866071,0.882254,41.1857590695854,0.217670549341902,0.367795249780634,0.446408549926878,NA,NA,NA
"23",0.895647,0.930804,0.895089,0.922433,45.5482760717263,0.326389320988422,0.312305823443441,0.373129157741358,NA,NA,NA
"24",0.928013,0.982143,0.925223,0.964286,49.7310696597627,0.500002074077761,0.348020648136028,0.342707240453368,NA,NA,NA
"25",0.964286,1.020089,0.945871,1.018415,54.5895323079585,0.724537584363113,0.516976326476432,0.392434266018634,NA,NA,NA
"26",1.017857,1.03683,0.993304,1.02567,55.2143172013902,0.754632452679916,0.659724037040263,0.508240337217575,7.93408058589769,NA,NA
"27",1.018973,1.045759,1.003906,1.00558,53.038160321752,0.801102921156977,0.760090986066669,0.645597116527788,12.981895144982,NA,NA
"28",1.007813,1.016741,0.982143,1.013393,53.8007587547359,0.839779415768604,0.798504929868499,0.739439984325144,17.5994952598699,NA,NA
"29",1.014509,1.018973,0.966518,0.970982,49.1363257762846,0.62983332425783,0.75690522039447,0.771833712109879,19.4661978097398,NA,NA
"30",0.976004,1.034598,0.969866,1.03404,55.3365711963071,0.941987733219807,0.803866824415413,0.786425658226127,23.8505749478833,NA,NA
"31",1.029018,1.070871,1.02846,1.0625,57.8348135304546,0.96314299426297,0.844988017246869,0.801920020685584,29.4013055314621,NA,NA
"32",1.051339,1.054688,1.001116,1.018973,52.9560824980429,0.771496250897099,0.892208992793292,0.847021278151858,32.5728986836959,NA,NA
"33",1.02846,1.03125,1.010045,1.02567,53.6045661369203,0.800982736074604,0.845207327078224,0.860801445706128,34.7908642902085,NA,NA
"34",1.023438,1.030134,0.989955,0.993304,50.0161776330569,0.6212548828125,0.731244623261401,0.822886981044305,34.8958751845139,23.721465270917,NA
"35",0.983259,1.044085,0.952567,1.016183,52.4398482347902,0.732968750000001,0.718402122962368,0.764951357767331,35.0620193122808,25.9895760791898,NA
"36",1.011021,1.0625,0.991071,1.037946,54.690458054531,0.812694132505035,0.722305921772512,0.723984222665427,35.8841335021051,27.9684875637728,NA
"37",1.047433,1.063616,0.997768,1.028599,53.5190623222565,0.709766011205098,0.751809631236711,0.730839225323864,36.02585048822,29.5799601486622,NA
"38",1.025112,1.044643,0.983259,0.985491,48.3731031102159,0.31696,0.613140047903378,0.695751866970867,33.3966136249044,30.3432908439107,NA
"39",0.983259,1.026786,0.967634,1.011161,51.3715798355407,0.495283337841493,0.507336449682197,0.624095376274095,31.3701848412953,30.5486696433876,NA
"40",1.013951,1.046875,1.005022,1.023438,52.7840032011465,0.599058358128213,0.470433898656569,0.530303465414048,30.3079248165099,30.5005206780121,NA
