"","Open","High","Low","Close","rsi","fastK","fastD","slowD","SMI","signal","SMA","futureprice22","futureprice23","futureprice24","futureprice25","futureprice26","futureprice27","futureprice28"
"2000-06-28",53.312504,0.988839,0.919643,54.437488,58.0676958185907,0.764433224351281,0.690530977113769,0.661790984379239,10.8782664917466,-1.63590491000743,56.440468,50.812496,49.31248,47.25,48.000008,47.374992,47.937512,46.749976
"2000-06-29",53.06252,0.96317,0.91183,51.250024,51.7975743684021,0.528870587261515,0.619707817737864,0.644341900150368,11.4903676734108,0.989349606676203,56.38265584,49.31248,47.25,48.000008,47.374992,47.937512,46.749976,47.499984
"2000-06-30",52.81248,0.981027,0.922991,52.375008,53.6978990039902,0.612010098083847,0.635104636565548,0.648447810472394,12.1408739372103,3.21965447278302,56.33203072,47.25,48.000008,47.374992,47.937512,46.749976,47.499984,47.56248
"2000-07-03",52.125024,0.969866,0.930804,53.312504,55.280120536611,0.671428266666667,0.60410298400401,0.619638479435807,13.5423990576962,5.28420338976567,56.30203096,48.000008,47.374992,47.937512,46.749976,47.499984,47.56248,47.687528
"2000-07-05",53.250008,0.985491,0.90625,51.625,51.8458043248264,0.542856533333333,0.608764966027949,0.615990862199169,13.6892850497926,6.96521972177106,56.25078088,47.374992,47.937512,46.749976,47.499984,47.56248,47.687528,47.062512
"2000-07-06",52.5,0.945313,0.886161,51.812488,52.2011102553409,0.55608445921383,0.59012308640461,0.600997012145523,13.4679574491562,8.26576726724808,56.22515584,47.937512,46.749976,47.499984,47.56248,47.687528,47.062512,46.68748
"2000-07-07",52.593744,0.978795,0.930804,54.437488,56.9864633717309,0.749384689218522,0.616108560588562,0.60499887100704,13.7858783240261,9.36978947860369,56.19046832,46.749976,47.499984,47.56248,47.687528,47.062512,46.68748,48.499976
"2000-07-10",54.09376,1.040179,0.959821,57.124984,61.2624073922833,0.875858148315218,0.727109098915857,0.64444691530301,16.09866289716,10.715564162315,56.16671816,47.499984,47.56248,47.687528,47.062512,46.68748,48.499976,51.437512
"2000-07-11",56.999992,1.058036,0.989955,56.937496,60.8082569447989,0.759738181818181,0.794993673117307,0.712737110873909,18.3333285921393,12.2391170482798,56.16546824,47.56248,47.687528,47.062512,46.68748,48.499976,51.437512,49.999992
"2000-07-12",58.124976,1.052455,1.006696,58.874984,63.7951690299172,0.961035636363637,0.865543988832345,0.795882253621837,22.1721505923401,14.2257237570919,56.17984288,47.687528,47.062512,46.68748,48.499976,51.437512,49.999992,50.500016
"2000-07-13",58.500008,1.082589,0.977679,56.500024,57.9636030223814,0.62500254546195,0.781925454547923,0.814154372165858,23.5179697782423,16.084172961322,56.18859288,47.062512,46.68748,48.499976,51.437512,49.999992,50.500016,51.687496
"2000-07-14",57.124984,1.053571,1.015625,57.687504,59.9356194279493,0.732955586779889,0.772997922868492,0.806822455416253,25.0680380737323,17.880945983804,56.19640544,46.68748,48.499976,51.437512,49.999992,50.500016,51.687496,54.312496
"2000-07-17",58.250024,1.050223,1.020089,58.31252,60.9733761056989,0.789775388437494,0.715911173559778,0.756944850325397,27.1670072592976,19.7381582389027,56.19828088,48.499976,51.437512,49.999992,50.500016,51.687496,54.312496,56.109368
"2000-07-18",58.500008,1.051339,1.015625,57.249976,58.2128222110605,0.693180198342395,0.738637057853259,0.74251538476051,28.3834629000927,21.4672191711407,56.1947652,51.437512,49.999992,50.500016,51.687496,54.312496,56.109368,56.812504
"2000-07-19",55.187496,1.014509,0.924107,52.687488,48.135196351916,0.278407355366852,0.58712098071558,0.680556404042873,25.1612542477329,22.2060261864592,56.16976512,49.999992,50.500016,51.687496,54.312496,56.109368,56.812504,58.06248
"2000-07-20",55.000008,1.018973,0.966518,55.125,52.8331247393203,0.5,0.490529184569749,0.60542907437953,22.9153545953162,22.3478918682306,56.15476496,50.500016,51.687496,54.312496,56.109368,56.812504,58.06248,59.18752
"2000-07-21",54.359368,0.993304,0.945313,53.562488,49.7238460532247,0.357953041317938,0.37878679889493,0.485478988060087,19.6669361885487,21.8117007322942,56.11726456,51.687496,54.312496,56.109368,56.812504,58.06248,59.18752,59.5
"2000-07-24",52.562496,0.944196,0.848214,48.68752,41.5148520497828,0.0904789333333331,0.316143991550424,0.395153325005034,12.6857994600816,19.9865204778517,55.95257752,54.312496,56.109368,56.812504,58.06248,59.18752,59.5,60.93752
"2000-07-25",50.312528,0.904018,0.876116,50.062488,44.3075689060622,0.1952384,0.214556791550424,0.303162527331926,6.27668029964564,17.2445524422105,55.84320224,56.109368,56.812504,58.06248,59.18752,59.5,60.93752,63.437528
"2000-07-26",49.843752,0.915179,0.879464,50.062488,44.3075689060622,0.1952384,0.160318577777778,0.230339786959542,0.45913624669399,13.8874692031072,55.7038272,56.812504,58.06248,59.18752,59.5,60.93752,63.437528,62.43748
"2000-07-27",49.999992,0.950893,0.890625,51.999976,48.3390058390848,0.342856533333333,0.244444444444444,0.206439937924215,-3.12113319777561,10.4857487229306,55.59538936,58.06248,59.18752,59.5,60.93752,63.437528,62.43748,58.437512
"2000-07-28",52.281264,0.9375,0.837054,48.312488,42.093657897522,0.104543140489136,0.214212691274157,0.206325237832126,-8.70242765267887,6.64811344780873,55.46413936,59.18752,59.5,60.93752,63.437528,62.43748,58.437512,62.000008
"2000-07-31",49.15624,0.921875,0.870536,50.812496,47.0851665071145,0.286362433054351,0.24458736895894,0.234414834892514,-12.3744089447425,2.84360896929848,55.36226416,59.5,60.93752,63.437528,62.43748,58.437512,62.000008,58.874984
"2000-08-01",50.312528,0.913504,0.879464,49.31248,44.600952518062,0.177270042967398,0.189391872170295,0.216063977467797,-15.9277130841914,-0.910655441399493,55.24413888,60.93752,63.437528,62.43748,58.437512,62.000008,58.874984,58.437512
"2000-08-02",49,0.891741,0.842634,47.25,41.3690449947209,0.0309259780987176,0.164852818040155,0.199610686389797,-20.9766683329467,-4.92385801970893,55.0878888,63.437528,62.43748,58.437512,62.000008,58.874984,58.437512,57.75
"2000-08-03",45.562496,0.858259,0.790179,48.000008,42.9869387026261,0.256409863685097,0.154868628250404,0.169704439486951,-24.2139950005644,-8.78188541588002,54.96132656,62.43748,58.437512,62.000008,58.874984,58.437512,57.75,57.999984
"2000-08-04",49.468776,0.915179,0.827009,47.374992,41.9481067366664,0.213673610047481,0.167003150610432,0.16224153230033,-26.6367089515525,-12.3528501230145,54.86382664,58.437512,62.000008,58.874984,58.437512,57.75,57.999984,56.859376
"2000-08-07",47.875016,0.876116,0.842634,47.937512,43.2767291328764,0.287804750124566,0.252629407952381,0.191500395604406,-28.216086368728,-15.5254973721572,54.761952,62.000008,58.874984,58.437512,57.75,57.999984,56.859376,55.234368
"2000-08-08",47.937512,0.857143,0.827009,46.749976,41.1362856957456,0.195118753114155,0.232199037762067,0.21727719877496,-30.0203350698109,-18.424464911688,54.62163952,58.874984,58.437512,57.75,57.999984,56.859376,55.234368,60.656232
"2000-08-09",48.125,0.864955,0.84375,47.499984,43.0520036529027,0.28571076923077,0.256211424156497,0.247013289956982,-30.5000297466544,-20.8395778786813,54.4716396,58.437512,57.75,57.999984,56.859376,55.234368,60.656232,59.937528
"2000-08-10",48.000008,0.864955,0.845982,47.56248,43.2178350896084,0.368051320980127,0.28296028110835,0.257123581008972,-30.4932919396217,-22.7703206908693,54.33226456,57.75,57.999984,56.859376,55.234368,60.656232,59.937528,61.046888
"2000-08-11",46.843776,0.857143,0.813616,47.687528,43.5719082362714,0.381945567903232,0.345235886038043,0.294802530434297,-30.2195743218221,-24.2601714170599,54.1344524,57.999984,56.859376,55.234368,60.656232,59.937528,61.046888,56.687512
"2000-08-14",47.593728,0.851563,0.827009,47.062512,42.1569321152832,0.31249922222084,0.354165370368066,0.327453845838153,-30.4246681631849,-25.4930707662849,53.88414024,56.859376,55.234368,60.656232,59.937528,61.046888,56.687512,52.18752
"2000-08-15",47.25,0.856027,0.830357,46.68748,41.2904609086669,0.270828925918091,0.321757905347387,0.340386387251165,-30.8840724928367,-26.5712711115953,53.6444524,55.234368,60.656232,59.937528,61.046888,56.687512,52.18752,53.499992
"2000-08-16",46.875024,0.875,0.835938,48.499976,46.9639440803518,0.515147195579721,0.366158447906217,0.347360574540557,-29.4445290469238,-27.145922698661,53.4360148,60.656232,59.937528,61.046888,56.687512,52.18752,53.499992,51.437512
"2000-08-17",48.374984,0.936384,0.862723,51.437512,54.6183608119285,0.87786327416983,0.554613131889214,0.414176495047606,-24.8855321167962,-26.693844582288,53.25257728,59.937528,61.046888,56.687512,52.18752,53.499992,51.437512,48.937504
"2000-08-18",51.375016,0.925223,0.890625,49.999992,50.7577284862912,0.702287883451319,0.69843278440029,0.53973478806524,-20.8287086688458,-25.5208173995996,53.05695192,61.046888,56.687512,52.18752,53.499992,51.437512,48.937504,53.499992
"2000-08-21",50.249976,0.920759,0.886161,50.500016,52.027922167578,0.763359666222085,0.781170274614411,0.678072063634638,-16.5609105343734,-23.7288360265543,52.8822644,56.687512,52.18752,53.499992,51.437512,48.937504,53.499992,25.749976
"2000-08-22",50.625008,0.94308,0.899554,51.687496,54.9968197237354,0.868614332149561,0.778087293940988,0.75256345098523,-12.06700953037,-21.3964707273175,52.77038928,52.18752,53.499992,51.437512,48.937504,53.499992,25.749976,24.250016
"2000-08-23",51.46876,0.977679,0.91183,54.312496,60.775768133277,0.952378049895467,0.861450682755704,0.806902750437035,-5.82906789845583,-18.2829901615451,52.63445152,53.499992,51.437512,48.937504,53.499992,25.749976,24.250016,22.312528
"2000-08-24",54.671848,1.011161,0.953125,56.109368,64.1677406278182,0.95338783568301,0.924793405909346,0.854777127535346,1.55057684115929,-14.3162767610043,52.5289828,51.437512,48.937504,53.499992,25.749976,24.250016,22.312528,23.625
"2000-08-25",56.500024,1.026786,1.006696,56.812504,65.4276341714622,0.942407468217855,0.949391117932111,0.911878402199054,9.03124652147465,-9.64677210450848,52.4605452,48.937504,53.499992,25.749976,24.250016,22.312528,23.625,22.062488
"2000-08-28",57.249976,1.053571,1.018973,58.06248,67.6080709251666,0.930232751974328,0.942009351958398,0.938731291933285,16.3878713570484,-4.43984341219709,52.38929472,53.499992,25.749976,24.250016,22.312528,23.625,22.062488,22.18748
"2000-08-29",57.874992,1.061384,1.030134,59.18752,69.4741625106408,0.981983145523231,0.951541121905138,0.947647197265216,23.9262415444208,1.23337357912648,52.35523216,25.749976,24.250016,22.312528,23.625,22.062488,22.18748,21.750008
"2000-08-30",58.999976,1.071429,1.04827,59.5,69.9912721953582,0.965366370198555,0.959194089232038,0.950914854365192,30.5988229232239,7.10646344794597,52.29148232,24.250016,22.312528,23.625,22.062488,22.18748,21.750008,20.875008
"2000-08-31",58.968728,1.098214,1.052455,60.93752,72.3147567039355,0.962965284563338,0.970104933428375,0.960280048188517,36.8380134712208,13.0527734526009,52.27585776,22.312528,23.625,22.062488,22.18748,21.750008,20.875008,19.624976
